         0	         0
       0.1	 0.0998011
       0.2	  0.198623
       0.3	  0.295487
       0.4	  0.389414
       0.5	  0.479426
       0.6	  0.564582
       0.7	  0.644104
       0.8	  0.717252
       0.9	  0.783288
         1	  0.841471
       1.1	  0.891133
       1.2	  0.931885
       1.3	  0.963409
       1.4	  0.985385
       1.5	  0.997495
       1.6	  0.999504
       1.7	  0.991509
       1.8	  0.973689
       1.9	  0.946225
         2	  0.909297
       2.1	  0.863161
       2.2	  0.808376
       2.3	  0.745576
       2.4	  0.675397
       2.5	  0.598472
       2.6	  0.515487
       2.7	  0.427325
       2.8	  0.334921
       2.9	  0.239208
         3	   0.14112
       3.1	 0.0416032
       3.2	-0.0583501
       3.3	 -0.157735
       3.4	 -0.255548
       3.5	 -0.350783
       3.6	 -0.442466
       3.7	 -0.529739
       3.8	 -0.611772
       3.9	 -0.687736
         4	 -0.756802
       4.1	 -0.818205
       4.2	  -0.87143
       4.3	 -0.916026
       4.4	 -0.951543
       4.5	  -0.97753
       4.6	 -0.993618
       4.7	 -0.999764
       4.8	 -0.996004
       4.9	 -0.982379
         5	 -0.958924
       5.1	 -0.925759
       5.2	 -0.883321
       5.3	 -0.832127
       5.4	 -0.772694
       5.5	  -0.70554
       5.6	 -0.631242
       5.7	  -0.55061
       5.8	 -0.464515
       5.9	 -0.373827
         6	 -0.279415
       6.1	 -0.182175
       6.2	-0.0830906
       6.3	 0.0168264
       6.4	  0.116567
       6.5	   0.21512
       6.6	  0.311495
       6.7	  0.404771
       6.8	  0.494046
       6.9	  0.578419
         7	  0.656987
       7.1	  0.728902
       7.2	  0.793536
       7.3	  0.850314
       7.4	   0.89866
       7.5	     0.938
       7.6	  0.967838
       7.7	  0.987994
       7.8	  0.998367
       7.9	  0.998855
         8	  0.989358
       8.1	  0.969854
       8.2	  0.940639
       8.3	  0.902089
       8.4	   0.85458
       8.5	  0.798487
       8.6	  0.734264
       8.7	  0.662675
       8.8	   0.58456
       8.9	  0.500761
         9	  0.412118
       9.1	  0.319467
       9.2	  0.223614
       9.3	   0.12536
       9.4	 0.0255045
       9.5	-0.0751511
